feature,importance
sensor_NTC_last,0.23667888
sensor_CT2_diff,0.08507873
sensor_CT2_std,0.06650336
sensor_NTC_max,0.056562115
sensor_CT2_max,0.04484089
sensor_CT2_mean,0.042359747
sensor_CT1_max,0.041203175
sensor_CT1_diff,0.035305206
sensor_PM10_min,0.034908023
sensor_PM10_std,0.030287128
sensor_CT1_std,0.02278874
sensor_CT2_last,0.022109466
sensor_CT1_mean,0.016508048
sensor_CT1_last,0.015751855
sensor_NTC_min,0.013338894
sensor_PM10_last,0.012491826
sensor_NTC_mean,0.012191474
sensor_PM2.5_std,0.011537298
sensor_PM2.5_last,0.010232314
sensor_CT1_min,0.009636877
sensor_CT3_diff,0.009223656
sensor_CT2_min,0.0091434615
sensor_PM2.5_min,0.009101547
sensor_PM10_max,0.008856223
sensor_CT3_max,0.008038386
sensor_PM1.0_mean,0.0074117025
sensor_CT3_std,0.0072471015
sensor_PM1.0_max,0.0070337756
sensor_PM1.0_min,0.0069804643
sensor_PM10_diff,0.0069761793
sensor_CT4_std,0.005864729
sensor_PM2.5_max,0.0058282367
sensor_CT3_mean,0.005784634
sensor_PM10_mean,0.005319085
sensor_CT4_min,0.005101895
sensor_CT4_max,0.004894793
sensor_CT3_last,0.0041871234
sensor_CT4_mean,0.004057277
sensor_NTC_diff,0.0040003597
sensor_CT3_min,0.0038760481
sensor_NTC_std,0.003648397
img_std,0.0033375032
sensor_PM2.5_mean,0.003299704
sensor_PM2.5_diff,0.003199638
ext_temp_mean,0.002757206
img_mean,0.0027563658
img_trend,0.002628672
ext_humidity_std,0.0024830352
sensor_PM1.0_std,0.002323722
sensor_PM1.0_last,0.0023063023
ext_humidity_mean,0.0022870388
sensor_CT4_last,0.0022811696
img_last_mean,0.002203076
ext_illuminance_std,0.002178247
sensor_CT4_diff,0.0021713949
ext_illuminance_last,0.0021600171
ext_illuminance_mean,0.002080386
sensor_PM1.0_diff,0.0019783862
ext_temp_std,0.0017870071
ext_humidity_last,0.0014971676
ext_temp_last,0.0013947667
img_max,0.0
img_last_max,0.0
img_max_mean,0.0
